iter	MultiClass
0	1.094830395
1	1.091568733
2	1.088891757
3	1.085655229
4	1.08188767
5	1.078687326
6	1.075525611
7	1.073508998
8	1.071300466
9	1.06712998
10	1.063384268
11	1.060939936
12	1.05788888
13	1.055663355
14	1.052197698
15	1.049982922
16	1.046430807
17	1.043694572
18	1.041799073
19	1.038856989
20	1.036185018
21	1.033204265
22	1.031218342
23	1.028449734
24	1.026473506
25	1.02435236
26	1.021258387
27	1.017671807
28	1.01583034
29	1.013526208
30	1.010508491
31	1.008650138
32	1.005918894
33	1.004562096
34	1.002272458
35	0.9983749336
36	0.9965299096
37	0.9940884972
38	0.9922281888
39	0.9906021878
40	0.9880676413
41	0.9858103353
42	0.9830800233
43	0.9801546896
44	0.9780509973
45	0.9761395168
46	0.9723925847
47	0.9705077291
48	0.9679320341
49	0.9641846235
50	0.9604771083
51	0.9585935145
52	0.9558139665
53	0.9545088468
54	0.9514915286
55	0.9483445714
56	0.9463200456
57	0.9451088266
58	0.9430367054
59	0.9415699392
60	0.9400636684
61	0.937266354
62	0.9345625689
63	0.9326799827
64	0.9306900566
65	0.9282307956
66	0.9268902177
67	0.9243732524
68	0.921299814
69	0.9181318501
70	0.9157828216
71	0.9130298676
72	0.9107557436
73	0.9093641086
74	0.9070672183
75	0.9039442999
76	0.9014769791
77	0.8991731037
78	0.8971293963
79	0.8943503483
80	0.8919658718
81	0.8908654227
82	0.8892896231
83	0.8880402892
84	0.8864295931
85	0.8843723558
86	0.88166625
87	0.8786292916
88	0.8773347606
89	0.8749694256
90	0.8739404709
91	0.8710145843
92	0.8687348566
93	0.8675759134
94	0.8663210719
95	0.8643926
96	0.861488014
97	0.8592396469
98	0.8571823281
99	0.8545296977
