iter	Passed	Remaining
0	166	16446
1	172	8428
2	178	5762
3	185	4442
4	191	3632
5	197	3100
6	204	2711
7	210	2415
8	216	2190
9	222	2005
10	229	1854
11	235	1725
12	241	1613
13	247	1521
14	254	1440
15	260	1368
16	266	1302
17	273	1245
18	279	1192
19	286	1144
20	292	1098
21	297	1054
22	302	1012
23	308	977
24	314	942
25	320	911
26	326	883
27	333	857
28	339	830
29	344	804
30	350	780
31	356	757
32	362	735
33	367	713
34	373	693
35	379	674
36	386	657
37	393	642
38	399	625
39	405	608
40	411	592
41	418	577
42	424	563
43	431	549
44	438	535
45	445	522
46	451	509
47	458	496
48	465	484
49	471	471
50	479	460
51	486	448
52	493	437
53	499	425
54	505	413
55	512	402
56	519	391
57	526	381
58	532	370
59	539	359
60	545	349
61	552	338
62	559	328
63	565	318
64	571	307
65	578	298
66	584	288
67	592	278
68	600	269
69	606	260
70	613	250
71	619	241
72	625	231
73	632	222
74	640	213
75	647	204
76	664	198
77	671	189
78	678	180
79	684	171
80	695	163
81	710	156
82	717	147
83	725	138
84	732	129
85	739	120
86	746	111
87	758	103
88	774	95
89	788	87
90	802	79
91	808	70
92	813	61
93	818	52
94	824	43
95	829	34
96	835	25
97	840	17
98	847	8
99	853	0
