symptoms,label
"literal,focus on details,sensitive to sound,eye contact,no facial expression",Autism
"delayed speech,social skills",Autism
"repetitive behavior,routine,eye contact,social skills,delayed speech",Autism
"focus on details,eye contact,repetitive behavior,no facial expression,monotone",Autism
"restless,overthinking",Anxiety
"routine,social skills,eye contact",Autism
"delayed speech,repetitive behavior",Autism
"monotone,social skills,repetitive behavior",Autism
"focus on details,monotone,routine,repetitive behavior",Autism
"focus on details,delayed speech,eye contact,sensitive to sound,repetitive behavior",Autism
"eye contact,delayed speech,focus on details,routine,monotone",Autism
"fear,overthinking",Anxiety
"repetitive behavior,routine,eye contact,delayed speech",Autism
"social skills,routine",Autism
"ritual,doubt",OCD
"intrusive thoughts,perfectionism,counting",OCD
"nervous,panic",Anxiety
"ritual,repetitive,intrusive thoughts,checking",OCD
"irritability,nervous",Anxiety
"no facial expression,sensitive to sound,repetitive behavior,social skills,literal",Autism
"monotone,focus on details",Autism
"nervous,overthinking,fear,trembling",Anxiety
"counting,cleaning,checking",OCD
"fear,sweating",Anxiety
"focus on details,no facial expression,delayed speech",Autism
"worry,panic,sweating",Anxiety
"intrusive thoughts,counting,repetitive,cleaning,checking",OCD
"delayed speech,social skills,sensitive to sound",Autism
"irritability,trembling,panic,worry",Anxiety
"checking,ritual,counting",OCD
"no facial expression,monotone,delayed speech,eye contact,social skills",Autism
"overthinking,avoidance,worry,nervous,restless",Anxiety
"intrusive thoughts,repetitive",OCD
"avoidance,panic",Anxiety
"perfectionism,checking,compulsion,cleaning,repetitive",OCD
"fear,irritability,avoidance",Anxiety
"avoidance,overthinking,worry",Anxiety
"repetitive,perfectionism,organizing,counting,ritual",OCD
"repetitive behavior,no facial expression,sensitive to sound",Autism
"restless,sweating,fear,nervous",Anxiety
"trembling,fear,nervous,sweating,overthinking",Anxiety
"overthinking,nervous,trembling,restless",Anxiety
"avoidance,fear,nervous,irritability,restless",Anxiety
"literal,focus on details,eye contact",Autism
"doubt,compulsion,cleaning,intrusive thoughts,counting",OCD
"sensitive to sound,eye contact,routine,social skills",Autism
"avoidance,nervous,restless",Anxiety
"cleaning,compulsion,intrusive thoughts,counting",OCD
"overthinking,irritability,trembling",Anxiety
"eye contact,repetitive behavior,literal,delayed speech",Autism
"sweating,overthinking,fear,avoidance,worry",Anxiety
"ritual,doubt,perfectionism,checking,organizing",OCD
"sweating,overthinking,worry",Anxiety
"delayed speech,sensitive to sound,social skills",Autism
"intrusive thoughts,organizing",OCD
"worry,irritability,fear",Anxiety
"trembling,nervous,avoidance,overthinking",Anxiety
"restless,avoidance,worry,sweating,panic",Anxiety
"perfectionism,organizing",OCD
"monotone,routine,sensitive to sound",Autism
"restless,worry",Anxiety
"eye contact,social skills",Autism
"sensitive to sound,delayed speech,no facial expression,social skills,focus on details",Autism
"organizing,ritual",OCD
"panic,avoidance,trembling,sweating,fear",Anxiety
"ritual,counting,organizing",OCD
"repetitive behavior,monotone,eye contact",Autism
"nervous,overthinking,avoidance,panic,irritability",Anxiety
"focus on details,sensitive to sound,delayed speech,eye contact,no facial expression",Autism
"checking,intrusive thoughts,doubt,repetitive,perfectionism",OCD
"restless,nervous,overthinking",Anxiety
"social skills,delayed speech",Autism
"perfectionism,organizing,compulsion,ritual",OCD
"restless,nervous,irritability",Anxiety
"irritability,overthinking,worry,nervous,panic",Anxiety
"nervous,trembling,fear",Anxiety
"worry,trembling,irritability,avoidance,overthinking",Anxiety
"avoidance,panic,trembling",Anxiety
"irritability,panic,sweating,fear",Anxiety
"sensitive to sound,literal,no facial expression,delayed speech,social skills",Autism
"no facial expression,eye contact,repetitive behavior",Autism
"nervous,irritability,trembling,panic,restless",Anxiety
"sensitive to sound,focus on details",Autism
"fear,avoidance,overthinking",Anxiety
"routine,no facial expression",Autism
"literal,monotone,sensitive to sound,focus on details",Autism
"nervous,overthinking,sweating,irritability",Anxiety
"delayed speech,focus on details",Autism
"irritability,sweating,fear,worry,trembling",Anxiety
"sweating,panic,nervous",Anxiety
"delayed speech,monotone,no facial expression,routine",Autism
"checking,repetitive,counting,organizing",OCD
"irritability,sweating,worry,avoidance,fear",Anxiety
"restless,panic",Anxiety
"nervous,avoidance,panic,overthinking,fear",Anxiety
"delayed speech,no facial expression,monotone,sensitive to sound,focus on details",Autism
"organizing,doubt,counting,checking",OCD
"repetitive,cleaning,perfectionism,compulsion,counting",OCD
"sensitive to sound,no facial expression,literal,social skills,monotone",Autism
"overthinking,avoidance,nervous,fear",Anxiety
"nervous,panic,fear,trembling,restless",Anxiety
"perfectionism,cleaning,counting",OCD
"ritual,cleaning,intrusive thoughts,doubt,perfectionism",OCD
"repetitive behavior,social skills,no facial expression,literal,focus on details",Autism
"worry,panic,avoidance,trembling,restless",Anxiety
"restless,nervous,sweating",Anxiety
"trembling,irritability,avoidance,fear",Anxiety
"sensitive to sound,eye contact",Autism
"perfectionism,checking,organizing,doubt,compulsion",OCD
"compulsion,cleaning",OCD
"delayed speech,focus on details",Autism
"intrusive thoughts,ritual",OCD
"organizing,compulsion,checking,repetitive,intrusive thoughts",OCD
"focus on details,sensitive to sound,delayed speech,eye contact,literal",Autism
"delayed speech,sensitive to sound,literal,eye contact,routine",Autism
"counting,organizing,checking,doubt,repetitive",OCD
"sweating,restless,fear,worry",Anxiety
"overthinking,trembling,nervous,worry",Anxiety
"nervous,worry",Anxiety
"counting,perfectionism,checking,intrusive thoughts",OCD
"overthinking,avoidance,restless,panic",Anxiety
